,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,material_budynku,okna,ogrzewanie,rok_budowy,stan_wykonczenia,czynsz,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude
71,72,106,Gdañsk,Zaspa,Dywizjonu 303,"Zaspa, 2 Pokoje Blisko Morza",52.0,462800,8900.0,2,wtorny,blok,8,9.0,wielka_plyta,,,1980.0,do_zamieszkania,430.0,spoldzielcze_wl._z_KW,60958098,0,0,0,0,1,0,0,54.39076799999999,18.5999697
72,73,108,Gdañsk,Ujeœcisko-£ostowice,ul. Warszawska,Kamienica Warszawska z gara¿em i ogródkiem w cenie,48.0,428000,8917.0,1,pierwotny,blok,parter,1.0,silikat,plastikowe,kotlownia,2020.0,do_wykonczenia,,,60372638,0,0,1,0,0,0,0,54.3326392,18.583861
73,74,109,Sopot,Dolny,,Przestronny apartament z ogrodem w centrum Sopotu,88.0,1770000,20114.0,3,pierwotny,dom_wolnostojacy,parter,,,,gazowe,,do_zamieszkania,,pelna_wlasnosc,60935211,0,0,1,0,0,0,0,,
74,75,110,Gdañsk,Wrzeszcz,ul. Jaœkowa Dolina,Mieszkanie 8B - Apartamenty Jaœkowa Dolina 73,72.65,922655,12700.0,4,pierwotny,apartamentowiec,1,4.0,,,,2020.0,do_wykonczenia,,pelna_wlasnosc,58637040,1,1,0,0,1,0,0,54.3685633,18.5951087
75,76,111,Gdynia,Wielki Kack,Starodworcowa,"Eleganckie, trzypokojowe, doskonale skomunikowane",77.35,649900,8402.0,3,wtorny,,2,3.0,,,,2010.0,do_zamieszkania,,pelna_wlasnosc,60649489,0,1,0,0,0,0,0,54.46662749999999,18.497634
76,77,112,Gdañsk,Osowa,ul. Centaura,"Du¿e mieszkanie 3-pokojowe (58,31 m2) z balkonem!",58.31,505000,8661.0,3,pierwotny,blok,2,2.0,silikat,plastikowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60942748,0,1,0,0,0,0,0,54.4214621,18.4669533
77,78,113,Gdynia,Oksywie,Bosmañska,Widok na Port Gdyñski!Dwa miejsca postojowe gratis,59.1,449314,7603.0,4,pierwotny,,3,3.0,,,,2020.0,do_wykonczenia,,,60957963,1,1,0,0,1,1,0,54.5489186,18.5320258
78,79,114,Gdynia,Grabówek,Morska,S³oneczne 2 pokojowe Mieszkanie Blisko Centrum!,37.0,305000,8243.0,2,wtorny,blok,4,5.0,,,,1950.0,do_zamieszkania,209.0,spoldzielcze_wl._z_KW,60957960,0,0,0,0,1,0,1,54.5379027,18.4729157
79,80,115,Gdañsk,Osowa,ul. Centaura,"Nowe mieszkanie 3-pokojowe (58,31 m2) z balkonem!",58.31,499000,8558.0,3,pierwotny,blok,1,2.0,silikat,plastikowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60942784,0,1,0,0,0,0,0,54.4214621,18.4669533
80,81,116,Gdynia,Or³owo,Œwiatowida,Apartament z widokiem na morze Gdynia Or³owo,143.8,2789720,19400.0,5,wtorny,apartamentowiec,1,2.0,cegla,,inne,2020.0,do_wykonczenia,,,60404234,0,1,0,0,1,0,0,54.4765182,18.5543686
81,82,117,Gdynia,Œródmieœcie,Stefana ¯eromskiego,Luksusowy apartament z tarasem na ostatnim piêtrze,84.0,2600000,30952.0,3,wtorny,apartamentowiec,5,5.0,inne,,miejskie,2020.0,do_zamieszkania,1000.0,pelna_wlasnosc,60899963,0,1,0,0,1,1,0,54.5219289,18.5448584
82,83,118,Gdañsk,Osowa,ul. Centaura,"Nowe mieszkanie 3-pokojowe (64,30 m2) z balkonem!",64.3,540000,8398.0,3,pierwotny,blok,2,2.0,pustak,plastikowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60942788,0,1,0,0,0,0,0,54.4214621,18.4669533
83,84,119,Gdynia,Œródmieœcie,,Ekskluzywny apartament z du¿ym tarasem,98.94,2600000,26279.0,3,wtorny,apartamentowiec,5,5.0,inne,,miejskie,2015.0,do_zamieszkania,1500.0,pelna_wlasnosc,60900396,0,1,0,0,1,1,0,,
84,85,120,Gdañsk,Œródmieœcie,Chmielna,Deo Plaza - luksus & widok,74.21,2300510,31000.0,2,wtorny,apartamentowiec,4,6.0,cegla,,miejskie,2019.0,do_zamieszkania,1150.0,pelna_wlasnosc,60939869,0,0,0,0,1,0,0,54.3457363,18.6558683
